,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
129,123,Garrett Temple,BKN,34,62,30,32,27.9,105.6,106.9,-1.4,13.2,2.52,18.6,1.5,9.6,5.6,7.4,48.6,51.3,16.2,102.83,7.8
130,123,Glenn Robinson III,PHI,26,62,17,45,28.8,106.5,114.3,-7.8,8.1,1.75,12.3,4.3,10.6,7.4,7.1,55.2,57.7,16.0,101.35,8.4
131,123,Josh Okogie,MIN,21,62,19,43,25.0,106.3,111.0,-4.7,8.9,1.14,14.8,5.0,11.4,8.1,13.0,47.9,55.3,14.8,105.88,7.0
132,123,Khris Middleton,MIL,28,62,46,16,29.9,113.3,100.9,12.4,21.2,1.93,18.4,2.3,15.7,9.4,9.5,57.5,61.9,26.0,106.64,15.4
133,123,Marcus Morris Sr.,LAC,30,62,26,36,31.2,111.3,109.9,1.5,6.6,0.89,8.0,2.9,12.8,7.7,9.0,52.6,57.0,21.6,98.90,9.2
134,123,Maurice Harkless,NYK,27,62,39,23,23.0,109.7,108.5,1.2,6.2,1.28,15.7,3.8,11.7,7.9,12.2,56.2,57.2,10.5,103.38,5.9
135,123,Mo Bamba,ORL,22,62,30,32,14.2,103.9,103.4,0.5,7.7,1.00,10.7,9.9,21.6,15.5,10.7,52.6,54.2,16.3,99.81,11.5
136,123,Myles Turner,IND,24,62,37,25,29.4,107.0,106.7,0.4,5.7,0.85,8.8,4.7,16.8,10.9,10.4,53.0,56.6,18.0,98.47,9.6
137,123,Nikola Vucevic,ORL,29,62,28,34,32.2,110.1,109.2,0.9,18.2,2.52,15.7,6.8,27.0,16.7,6.2,52.5,54.9,25.8,99.81,15.3
138,123,Taj Gibson,NYK,35,62,21,41,16.5,101.2,113.7,-12.5,7.7,1.11,12.7,9.8,15.8,12.6,11.5,59.1,61.0,14.5,99.29,9.7
139,140,Bogdan Bogdanovic,SAC,27,61,29,32,28.9,109.1,110.8,-1.7,18.4,2.03,18.5,1.4,10.5,5.8,9.1,54.7,56.5,22.1,99.24,10.2
140,140,Darius Bazley,OKC,20,61,36,25,18.5,98.9,102.1,-3.2,5.4,0.91,9.5,2.5,17.2,10.1,10.4,47.2,49.7,14.6,101.87,8.7
141,140,Eric Bledsoe,MIL,30,61,48,13,27.0,112.5,100.8,11.8,27.5,2.22,25.8,2.5,12.1,7.7,11.7,52.8,57.1,23.3,108.10,12.5
142,140,Gary Trent Jr.,POR,21,61,29,32,21.8,112.2,113.6,-1.4,6.4,2.90,11.2,1.7,5.2,3.5,3.9,57.1,58.7,15.0,102.22,6.9
143,140,Jrue Holiday,NOP,30,61,26,35,34.7,110.0,109.5,0.5,28.4,2.22,24.4,3.4,9.5,6.5,11.0,51.6,53.7,24.1,104.32,11.5
144,140,Kyle Kuzma,LAL,24,61,46,15,25.0,110.1,105.2,4.9,7.6,0.88,8.9,3.3,13.5,8.5,10.1,50.0,53.1,22.1,103.35,8.5
145,140,Lonnie Walker IV,SAS,21,61,29,32,16.2,109.0,109.4,-0.4,9.9,1.55,13.7,2.3,11.0,6.7,8.9,48.3,50.7,18.3,102.55,6.8
146,140,Luka Doncic,DAL,21,61,36,25,33.6,116.7,111.4,5.3,45.4,2.07,23.6,3.6,22.4,13.2,11.4,53.1,58.5,35.5,101.24,19.4
147,140,Mason Plumlee,DEN,30,61,38,23,17.3,107.6,108.6,-1.0,21.0,1.88,25.9,8.7,19.5,14.1,13.8,61.5,61.3,17.3,101.26,12.0
148,140,Mitchell Robinson,NYK,22,61,20,41,23.2,106.1,109.1,-2.9,3.9,0.97,7.5,12.2,16.0,14.1,7.7,74.2,72.6,12.9,100.69,12.9
149,140,Nerlens Noel,OKC,26,61,38,23,18.5,106.7,105.3,1.3,7.9,0.86,13.0,8.2,17.4,13.0,15.0,68.6,71.1,14.8,99.92,12.5
150,151,De'Anthony Melton,MEM,22,60,27,33,19.5,110.2,105.0,5.1,19.6,2.08,24.6,3.5,13.7,8.7,11.8,45.1,50.1,18.5,105.86,9.3
151,151,Eric Paschall,GSW,23,60,14,46,27.6,103.6,114.2,-10.6,12.6,1.35,13.4,4.7,11.6,8.1,9.9,52.6,57.1,20.7,102.09,9.6
152,151,JJ Redick,NOP,36,60,26,34,26.3,111.7,112.7,-1.0,10.7,1.59,13.3,0.6,8.3,4.5,8.4,59.6,64.4,19.7,106.10,9.8
153,151,Marcus Smart,BOS,26,60,39,21,32.0,111.9,104.6,7.3,21.4,2.83,25.5,2.0,8.9,5.5,9.0,47.6,51.8,18.3,101.51,9.0
